gene_1,gene_2,r,gene_1_category,gene_2_category
Os10g0573400,Os01g0663300,0.9068006722521849,ABA repsonsive gene,Cell wall responsive gene
Os03g0324300,Os02g0743400,-0.90675754278565,Ethyelene signalling gene,Auxin responsive gene
Os01g0580500,Os12g0586100,-0.9067560731187023,Ethyelene signalling gene,ABA repsonsive gene
Os03g0707600,Os08g0420600,0.9067000738112526,Jasmonate responsive gene,Mechano sensing gene
Os05g0586200,Os10g0397400,-0.906691996280093,Jasmonate responsive gene,Cell wall responsive gene
Os06g0562200,Os06g0657500,0.9066673555935303,ABA repsonsive gene,Auxin responsive gene
Os04g0671900,Os03g0319400,0.9065786200463489,Auxin responsive gene,Mechano sensing gene
Os11g0137000,Os03g0301200,0.9062526390667861,Auxin responsive gene,Cell wall responsive gene
Os04g0671900,Os08g0237000,0.9060584123668253,Auxin responsive gene,Cell wall responsive gene
Os02g0743400,Os03g0633500,0.9058342896388383,Auxin responsive gene,Auxin responsive gene
Os03g0301200,Os06g0614100,-0.9058020533654277,Cell wall responsive gene,Mechano sensing gene
Os06g0562200,Os11g0523800,-0.9057068721477443,ABA repsonsive gene,Auxin responsive gene
Os03g0633800,Os11g0137000,0.9056765375908797,Auxin responsive gene,Auxin responsive gene
Os03g0707600,Os10g0397400,0.9056148185113984,Jasmonate responsive gene,Cell wall responsive gene
Os03g0633800,Os06g0597000,0.9048304049392228,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os06g0597000,0.904728048512883,Ethyelene signalling gene,Auxin responsive gene
Os08g0109400,Os03g0438100,-0.9046953178477309,Auxin responsive gene,Jasmonate responsive gene
Os05g0213500,Os12g0133800,-0.904605583028156,ABA repsonsive gene,Auxin responsive gene
Os08g0537900,Os05g0213500,0.904553659779272,Ethyelene signalling gene,ABA repsonsive gene
Os02g0512000,Os03g0302900,-0.9045395547325118,Auxin responsive gene,Cell wall responsive gene
Os03g0324300,Os03g0157300,-0.9042460239624183,Ethyelene signalling gene,Mechano sensing gene
Os06g0654300,Os05g0477600,0.9042030863253392,Ethyelene signalling gene,Cell wall responsive gene
Os06g0597000,Os12g0133800,0.904202052677081,Auxin responsive gene,Auxin responsive gene
Os11g0539200,Os05g0477600,0.9039849916085816,Cell wall responsive gene,Cell wall responsive gene
Os06g0654300,Os04g0671900,0.903862271256524,Ethyelene signalling gene,Auxin responsive gene
Os06g0166500,Os05g0586200,0.9037880818593914,Auxin responsive gene,Jasmonate responsive gene
Os02g0743400,Os06g0597000,0.9036765295630916,Auxin responsive gene,Auxin responsive gene
Os01g0853400,Os03g0300300,-0.9036429985725039,Jasmonate responsive gene,Mechano sensing gene
Os01g0169800,Os05g0148700,-0.9034577308763134,Ethyelene signalling gene,Mechano sensing gene
Os05g0213500,Os03g0633800,-0.9034507103289594,ABA repsonsive gene,Auxin responsive gene
Os05g0213500,Os03g0822000,-0.9034193305249584,ABA repsonsive gene,Cell wall responsive gene
Os03g0301200,Os11g0593000,-0.903388951484641,Cell wall responsive gene,Mechano sensing gene
Os12g0613700,Os06g0130400,-0.9032812355403771,Auxin responsive gene,Mechano sensing gene
Os08g0237000,Os03g0319400,0.9032729995980868,Cell wall responsive gene,Mechano sensing gene
Os08g0237000,Os08g0420600,0.9030957072404932,Cell wall responsive gene,Mechano sensing gene
Os04g0397000,Os03g0319400,0.9029574681601387,Jasmonate responsive gene,Mechano sensing gene
Os05g0563400,Os10g0556100,0.9029142524208164,Auxin responsive gene,Cell wall responsive gene
Os05g0213500,Os06g0597000,-0.9028138948826807,ABA repsonsive gene,Auxin responsive gene
Os02g0512000,Os10g0556100,-0.9025460118684522,Auxin responsive gene,Cell wall responsive gene
Os01g0580500,Os09g0518200,-0.9024449709652704,Ethyelene signalling gene,Cell wall responsive gene
Os05g0563400,Os03g0633500,0.9024286545909669,Auxin responsive gene,Auxin responsive gene
Os12g0133800,Os08g0420600,0.9024247104237465,Auxin responsive gene,Mechano sensing gene
Os06g0614100,Os03g0319400,-0.9022004949661008,Mechano sensing gene,Mechano sensing gene
Os03g0633800,Os11g0539200,0.9021477816528685,Auxin responsive gene,Cell wall responsive gene
Os08g0237000,Os05g0403300,0.9017326889732398,Cell wall responsive gene,Mechano sensing gene
Os05g0213500,Os11g0137000,-0.901642288164343,ABA repsonsive gene,Auxin responsive gene
Os03g0707600,Os11g0539200,0.9014812846573873,Jasmonate responsive gene,Cell wall responsive gene
Os06g0335500,Os11g0539200,0.9013636995044371,Auxin responsive gene,Cell wall responsive gene
Os12g0133800,Os03g0438100,0.9011001463951532,Auxin responsive gene,Jasmonate responsive gene
Os06g0654300,Os01g0856500,0.9010754847788681,Ethyelene signalling gene,Auxin responsive gene
Os06g0660200,Os04g0397000,0.9008008237422244,Auxin responsive gene,Jasmonate responsive gene
Os03g0319400,Os08g0420600,0.9007449931015151,Mechano sensing gene,Mechano sensing gene
Os01g0663300,Os03g0313600,0.9006833812948268,Cell wall responsive gene,Mechano sensing gene
Os06g0562200,Os10g0573400,0.9006764246533798,ABA repsonsive gene,ABA repsonsive gene
Os03g0822000,Os03g0301200,0.9005137447519396,Cell wall responsive gene,Cell wall responsive gene
Os06g0194000,Os12g0586100,-0.9003005964204344,Ethyelene signalling gene,ABA repsonsive gene
Os01g0178500,Os06g0130400,0.900248187348496,Auxin responsive gene,Mechano sensing gene
Os09g0286600,Os01g0802700,-0.9000844086144849,Ethyelene signalling gene,Auxin responsive gene
