GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0006811,monoatomic ion transport,3,6072,27,29909,0.5473027375201288,0.9331559915487115,0.9999999999445353
GO:0006914,autophagy,1,6072,15,29909,0.3283816425120773,0.9667832575721342,0.9999999999445353
GO:0045944,positive regulation of transcription by RNA polymerase II,2,6072,33,29909,0.29852876592007027,0.9947541451612452,0.9999999999445353
GO:0016310,phosphorylation,2,6072,15,29909,0.6567632850241546,0.8397891384297086,0.9999999999445353
GO:0016567,protein ubiquitination,19,6072,154,29909,0.6077192734801431,0.996569011703525,0.9999999999445353
GO:0048544,recognition of pollen,10,6072,93,29909,0.5296478105033505,0.9952057926648871,0.9999999999445353
GO:0015979,photosynthesis,2,6072,47,29909,0.20960530373111316,0.9996994445200025,0.9999999999445353
GO:0050832,defense response to fungus,1,6072,11,29909,0.4477931488801054,0.9176348957319613,0.9999999999445353
GO:0006812,monoatomic cation transport,5,6072,53,29909,0.4646910035548264,0.9897368456627215,0.9999999999445353
GO:0007166,cell surface receptor signaling pathway,8,6072,92,29909,0.4283238815374921,0.9992632224807515,0.9999999999445353
GO:0016579,protein deubiquitination,4,6072,44,29909,0.4477931488801054,0.9865628460415931,0.9999999999445353
GO:0007034,vacuolar transport,2,6072,16,29909,0.615715579710145,0.8655796414508388,0.9999999999445353
GO:0043248,proteasome assembly,2,6072,13,29909,0.7578037904124861,0.774392796196497,0.9999999999445353
GO:0006535,cysteine biosynthetic process from serine,1,6072,16,29909,0.3078577898550725,0.973530165313554,0.9999999999445353
GO:0048268,clathrin coat assembly,2,6072,13,29909,0.7578037904124861,0.774392796196497,0.9999999999445353
GO:0071805,potassium ion transmembrane transport,2,6072,32,29909,0.3078577898550725,0.9935946391312309,0.9999999999445353
GO:0010468,regulation of gene expression,1,6072,13,29909,0.37890189520624307,0.9476932724417001,0.9999999999445353
GO:0006749,glutathione metabolic process,6,6072,45,29909,0.6567632850241546,0.917515184244396,0.9999999999445353
GO:0015995,chlorophyll biosynthetic process,1,6072,11,29909,0.4477931488801054,0.9176348957319613,0.9999999999445353
GO:0009408,response to heat,3,6072,19,29909,0.7777459954233409,0.7729207669909555,0.9999999999445353
GO:0010073,meristem maintenance,1,6072,11,29909,0.4477931488801054,0.9176348957319613,0.9999999999445353
GO:0048507,meristem development,1,6072,10,29909,0.492572463768116,0.896645223800307,0.9999999999445353
GO:0016114,terpenoid biosynthetic process,2,6072,25,29909,0.39405797101449275,0.9747143096469487,0.9999999999445353
GO:0045893,positive regulation of DNA-templated transcription,2,6072,21,29909,0.4691166321601104,0.9459616932268843,0.9999999999445353
GO:0006415,translational termination,1,6072,10,29909,0.492572463768116,0.896645223800307,0.9999999999445353
GO:0070588,calcium ion transmembrane transport,1,6072,11,29909,0.4477931488801054,0.9176348957319613,0.9999999999445353
GO:0009691,cytokinin biosynthetic process,2,6072,13,29909,0.7578037904124861,0.774392796196497,0.9999999999445353
